Sementara	O
itu	O
Pengamat	O
Pasar	O
Modal	O
Dandossi	PERSON
Matram	PERSON
	O
mengatakan,	O
sulit	O
bagi	O
sebuah	O
kantor	ORGANIZATION
akuntan	ORGANIZATION
publik	ORGANIZATION
	O
(	O
KAP	ORGANIZATION
)	O
untuk	O
dapat	O
menyelesaikan	O
audit	O
perusahaan	O
sebesar	O
Telkom	ORGANIZATION
	O
dalam	O
waktu	O
3	O
bulan.	O
.	O

Telkom	ORGANIZATION
	O
akan	O
melakukan	O
RUPS	O
pada	O
30	O
Juli	O
2004	O
yang	O
selain	O
melaporkan	O
kinerja	O
2003	O
juga	O
akan	O
meminta	O
persetujuan	O
untuk	O
pemecahan	O
nilai	O
nominal	O
saham	O
atau	O
stock	O
split	O
1:2.	O
.	O

Sehubungan	O
dengan	O
hal	O
tersebut,	O
saat	O
ini	O
addendum	O
(perubahan)	O
terhadap	O
perjanjian	O
perpanjangan	O
sewa	O
jaringan	O
PT	ORGANIZATION
PSN	ORGANIZATION
	O
oleh	O
KPU	ORGANIZATION
	O
sedang	O
dalam	O
proses	O
pertimbangan.	O
.	O

Terutama	O
mengenai	O
langganan	O
bulanan	O
leased	O
line	O
channel	O
untuk	O
ruas	O
Lemah	LOCATION
Abang	LOCATION
	O
-	O
Slipi	LOCATION
	O
(	O
Jakarta	LOCATION
	O
-	O
Excelcom	ORGANIZATION
)	O
dan	O
Lemah	LOCATION
Abang	LOCATION
	O
-	O
Imam	LOCATION
Bonjol	LOCATION
	O
(	O
Jakarta	LOCATION
	O
-	O
Telkom	ORGANIZATION
)	O
untuk	O
tiga	O
bulan	O
ke	O
depan	O
yang	O
sudah	O
berakhir	O
sejak	O
30	O
April	O
2004.	O
.	O

Sebab	O
ia	O
ingin	O
memperkenalkan	O
usahanya	O
kepada	O
masyarakat	O
Maluku	LOCATION
,	O
khususnya	O
para	O
pengguna	O
telepon	O
rumah.	O
Dengan	O
meyakinkan,	O
si	O
kelompok	O
penipu	O
menyediakan	O
surat	O
kontrak	O
berikut	O
kwitansi	O
pembayaran	O
serta	O
surat	O
perjanjian	O
yang	O
berlogokan	O
PT.	O
.	O

Menurut	O
Laks	PERSON
,	O
